GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fantalol-backend,com.fantalol.backend.team.dto,LecPlayerResponse,23,63,2,2,3,7,3,2,1,2
fantalol-backend,com.fantalol.backend.team.dto,LecTeamResponse,25,31,2,0,3,2,2,2,1,2
fantalol-backend,com.fantalol.backend.team.dto,LecPlayerRequest,0,24,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.team.dto,LecTeamRequest,0,12,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.config,SecurityConfig,0,282,0,0,0,38,0,11,0,11
fantalol-backend,com.fantalol.backend.config,DataSeeder.PlayerSeed,0,15,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.config,AdminAccountInitializer,0,60,0,4,0,22,0,4,0,2
fantalol-backend,com.fantalol.backend.config,DataSeeder,63,536,8,22,13,55,6,23,1,6
fantalol-backend,com.fantalol.backend.league.dto,RosterEntryResponse,0,41,0,0,0,8,0,2,0,2
fantalol-backend,com.fantalol.backend.league.dto,AuctionStartRequest,0,12,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.league.dto,FantaTeamResponse,3,65,2,2,0,6,2,2,0,2
fantalol-backend,com.fantalol.backend.league.dto,JoinLeagueRequest,0,9,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.league.dto,LeagueResponse,5,88,4,6,0,8,4,3,0,2
fantalol-backend,com.fantalol.backend.league.dto,AuctionBidRequest,0,9,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.league.dto,AcquistoPlayerRequest,0,9,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.league.dto,LeagueRequest,9,0,0,0,1,0,1,0,1,0
fantalol-backend,com.fantalol.backend.league.dto,AuctionResponse,4,71,2,2,0,6,2,2,0,2
fantalol-backend,com.fantalol.backend.security,JwtUtil,18,106,5,5,4,33,5,6,0,6
fantalol-backend,com.fantalol.backend.security,JwtAuthFilter,0,67,4,6,0,18,4,2,0,1
fantalol-backend,com.fantalol.backend.security,CustomUserDetailsService,0,15,0,0,0,2,0,2,0,2
fantalol-backend,com.fantalol.backend,FantaLolBackendApplication,5,3,0,0,2,1,1,1,1,1
fantalol-backend,com.fantalol.backend.common,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
fantalol-backend,com.fantalol.backend.common,ApiError,0,41,0,0,0,3,0,3,0,3
fantalol-backend,com.fantalol.backend.common,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
fantalol-backend,com.fantalol.backend.common,GlobalExceptionHandler,63,38,0,0,12,8,6,4,6,4
fantalol-backend,com.fantalol.backend.matchday,PlayerStat,13,0,4,0,3,0,3,0,1,0
fantalol-backend,com.fantalol.backend.matchday,FormationSource,0,27,0,0,0,5,0,1,0,1
fantalol-backend,com.fantalol.backend.matchday,MatchdayController,49,0,0,0,7,0,7,0,7,0
fantalol-backend,com.fantalol.backend.matchday,FormationService,122,246,12,22,19,48,20,9,9,3
fantalol-backend,com.fantalol.backend.matchday,Matchday,12,0,4,0,3,0,3,0,1,0
fantalol-backend,com.fantalol.backend.matchday,FormationController,19,0,0,0,3,0,3,0,3,0
fantalol-backend,com.fantalol.backend.matchday,FantaScoreCalculator,22,40,0,2,2,4,2,4,2,3
fantalol-backend,com.fantalol.backend.matchday,MatchdayStatus,0,21,0,0,0,4,0,1,0,1
fantalol-backend,com.fantalol.backend.matchday,MatchdayService,199,235,19,17,29,50,18,13,6,7
fantalol-backend,com.fantalol.backend.team,LecPlayerController,32,0,0,0,6,0,5,0,5,0
fantalol-backend,com.fantalol.backend.team,PlayerRole,0,33,0,0,0,6,0,1,0,1
fantalol-backend,com.fantalol.backend.team,LecPlayerService,94,61,3,1,19,15,8,3,6,3
fantalol-backend,com.fantalol.backend.team,LecTeamController,26,4,0,0,5,1,4,1,4,1
fantalol-backend,com.fantalol.backend.team,LecTeamService,28,64,0,2,6,14,2,6,2,5
fantalol-backend,com.fantalol.backend.integration.pandascore,PandaScoreProperties,0,9,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.integration.pandascore,PandaScoreConfiguration,12,26,2,2,1,4,2,2,0,2
fantalol-backend,com.fantalol.backend.integration.pandascore,PandaScoreAdminController,10,0,0,0,2,0,2,0,2,0
fantalol-backend,com.fantalol.backend.integration.pandascore,PandaScoreClient,61,0,0,0,13,0,3,0,3,0
fantalol-backend,com.fantalol.backend.integration.oracle,OracleElixirImportController,15,0,2,0,3,0,2,0,1,0
fantalol-backend,com.fantalol.backend.integration.oracle,OracleElixirCsvImporter,79,369,26,28,20,68,25,10,2,6
fantalol-backend,com.fantalol.backend.integration.oracle,OracleImportResult,0,15,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.integration.oracle,OracleElixirCsvImporter.ResolvedRow,0,9,0,0,0,1,0,1,0,1
fantalol-backend,com.fantalol.backend.league,RosterPolicy,0,29,0,4,0,4,0,3,0,1
fantalol-backend,com.fantalol.backend.league,FantaTeamController,48,0,0,0,9,0,6,0,6,0
fantalol-backend,com.fantalol.backend.league,LeagueController,55,0,0,0,9,0,7,0,7,0
fantalol-backend,com.fantalol.backend.league,AuctionService,208,277,26,20,27,55,30,10,10,7
fantalol-backend,com.fantalol.backend.league,RosterEntry,7,0,2,0,3,0,2,0,1,0
