gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,firstPick,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,1,Blue,top,Myrwn,oe:player:ede24d5e0911d7a4f6ec514a67802ff,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,Jayce,Poppy,Syndra,Shen,Naafiri,Vayne,,,,,,1794,1,4,0,7,22,6,1,0,0,0,0,0,0,0,0.7358,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,32898,1100.2676,0.328137,415.0167,287.4247,13186,16,0.5351,6,0.2007,6,37,1.2375,14256,10321,345.1839,0.233028,14250,,,302,293,9,,,10.1003,4329,5214,85,3215,4732,84,1114,482,1,2,0,0,0,0,0,6757,9315,146,4983,8202,137,1774,1113,9,2,0,0,0,0,0,9308,12677,206,6870,10972,190,2438,1705,16,2,1,0,0,0,2,11696,17221,261,9031,13754,243,2665,3467,18,3,3,0,0,0,3
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,2,Blue,jng,Elyoya,oe:player:8a8f18e4b7d0f30c19c5fb99a526951,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,Lee Sin,Poppy,Syndra,Shen,Naafiri,Vayne,,,,,,1794,1,8,0,4,22,6,1,0,0,0,1,1,0,0,0.7358,0.9365,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,0,0,18727,626.3211,0.18679,874.3478,1124.7157,6759,15,0.5017,8,0.2676,6,46,1.5385,14378,10443,349.2642,0.235783,12000,,,237,14,223,,,7.9264,4217,4582,89,3553,3848,68,664,734,21,1,1,0,1,0,1,5998,7199,130,5325,6448,114,673,751,16,1,2,0,1,0,1,8812,10683,170,7629,8607,140,1183,2076,30,3,2,0,2,0,2,11147,13922,213,9385,11001,171,1762,2921,42,4,3,0,2,0,3
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,3,Blue,mid,Jojopyun,oe:player:83eb62484689106807fcf5ad55b5479,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,Galio,Poppy,Syndra,Shen,Naafiri,Vayne,,,,,,1794,1,4,1,9,22,6,1,0,0,0,1,0,1,0,0.7358,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,19551,653.8796,0.195009,589.8997,872.7425,8048,14,0.4682,5,0.1672,3,36,1.2040,12419,8484,283.7458,0.191551,12125,,,261,261,0,,,8.7291,3543,4963,94,3350,4765,92,193,198,2,0,2,0,0,0,1,6259,7386,142,5005,6805,134,1254,581,8,3,2,0,0,0,3,8231,10478,188,7114,9523,178,1117,955,10,3,3,1,0,1,3,9983,13270,227,9530,12660,242,453,610,-15,3,4,1,0,1,3
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,4,Blue,bot,Supa,oe:player:1223a0ed2bfab9b714c72d965df8133,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,Akali,Poppy,Syndra,Shen,Naafiri,Vayne,,,,,,1794,1,6,2,6,22,6,0,0,0,0,0,0,0,0,0.7358,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,19632,656.5886,0.195817,727.8930,484.4147,9078,11,0.3679,4,0.1338,5,34,1.1371,14132,10197,341.0368,0.230229,11925,,,253,248,5,,,8.4615,3436,4740,80,3263,4413,87,173,327,-7,1,0,0,0,0,1,6252,8597,135,5299,6527,137,953,2070,-2,2,2,0,1,0,2,8833,11457,177,7731,9750,201,1102,1707,-24,3,3,0,1,0,2,11249,14809,211,10049,12002,250,1200,2807,-39,5,3,0,1,0,3
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,5,Blue,sup,Alvaro,oe:player:f5bf9bd732b85e4dcab5121e4769ae4,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,Camille,Poppy,Syndra,Shen,Naafiri,Vayne,,,,,,1794,1,0,3,9,22,6,0,0,0,0,1,0,1,0,0.7358,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,9449,316.0201,0.0942478,456.9900,357.4582,1980,63,2.1070,20,0.6689,26,136,4.5485,8781,4846,162.0736,0.109409,8370,,,43,37,6,,,1.4381,2613,1568,17,2255,1188,8,358,380,9,0,2,1,0,1,1,4430,3041,26,3446,2424,14,984,617,12,0,4,2,0,2,2,6067,4605,34,4508,3349,18,1559,1256,16,0,6,2,0,2,2,7379,6155,39,5903,4768,23,1476,1387,16,0,7,2,0,2,3
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,6,Red,top,BrokenBlade,oe:player:84bff3a326833c7c9181c698f676878,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,Yorick,Vi,Nocturne,Leona,Kai'Sa,Cassiopeia,,,,,,1794,0,1,4,1,6,22,0,0,0,0,0,0,0,0,0.2007,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,16563,553.9465,0.325934,886.0201,686.6555,4865,14,0.4682,6,0.2007,4,46,1.5385,11742,7807,261.1037,0.234976,11833,,,277,277,0,,,9.2642,3215,4732,84,4329,5214,85,-1114,-482,-1,0,0,0,2,0,0,4983,8202,137,6757,9315,146,-1774,-1113,-9,0,0,0,2,0,0,6870,10972,190,9308,12677,206,-2438,-1705,-16,0,0,2,2,1,0,9031,13754,243,11696,17221,261,-2665,-3467,-18,0,0,3,3,3,0
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,7,Red,jng,SkewMond,oe:player:ab15060e5225b51592cd04b3aed1e09,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,Trundle,Vi,Nocturne,Leona,Kai'Sa,Cassiopeia,,,,,,1794,0,3,4,1,6,22,0,0,0,0,0,0,0,0,0.2007,0.9365,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,0,0,7903,264.3144,0.155519,1052.5418,804.1137,1457,9,0.3010,14,0.4682,9,52,1.7391,11156,7221,241.5050,0.217337,11058,,,194,24,170,,,6.4883,3553,3848,68,4217,4582,89,-664,-734,-21,1,0,1,1,1,0,5325,6448,114,5998,7199,130,-673,-751,-16,1,0,1,1,2,0,7629,8607,140,8812,10683,170,-1183,-2076,-30,2,0,2,3,2,0,9385,11001,171,11147,13922,213,-1762,-2921,-42,2,0,3,4,3,0
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,8,Red,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,Locke,Vi,Nocturne,Leona,Kai'Sa,Cassiopeia,,,,,,1794,0,0,4,3,6,22,0,0,0,0,0,0,0,1,0.2007,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,1,13479,450.8027,0.265246,850.2007,501.6388,11174,8,0.2676,8,0.2676,4,31,1.0368,10876,6941,232.1405,0.208909,10150,,,264,264,0,,,8.8294,3350,4765,92,3543,4963,94,-193,-198,-2,0,0,1,0,2,0,5005,6805,134,6259,7386,142,-1254,-581,-8,0,0,3,3,2,0,7114,9523,178,8231,10478,188,-1117,-955,-10,0,1,3,3,3,1,9530,12660,242,9983,13270,227,-453,-610,15,0,1,3,3,4,1
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,9,Red,bot,Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,Viktor,Vi,Nocturne,Leona,Kai'Sa,Cassiopeia,,,,,,1794,0,2,5,0,6,22,0,0,0,0,0,0,0,0,0.2007,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,9417,314.9498,0.185312,502.9431,371.3712,776,14,0.4682,7,0.2341,5,39,1.3043,12225,8290,277.2575,0.249514,11075,,,286,286,0,,,9.5652,3263,4413,87,3436,4740,80,-173,-327,7,0,0,1,1,0,0,5299,6527,137,6252,8597,135,-953,-2070,2,1,0,2,2,2,0,7731,9750,201,8833,11457,177,-1102,-1707,24,1,0,2,3,3,0,10049,12002,250,11249,14809,211,-1200,-2807,39,1,0,3,5,3,0
LOLTMNT05_214176,complete,,LEC,2026,Summer,0,2026-07-24 14:46:02,1,16.14,10,Red,sup,Labrov,oe:player:bb6ac5763c6576e104a7a2f59eb4ddf,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,Rell,Vi,Nocturne,Leona,Kai'Sa,Cassiopeia,,,,,,1794,0,0,5,3,6,22,0,0,0,0,0,0,0,0,0.2007,0.9365,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,3455,115.5518,0.0679891,690.9365,612.0067,0,55,1.8395,13,0.4348,22,128,4.2809,6901,2966,99.1973,0.0892641,6670,,,24,24,0,,,0.8027,2255,1188,8,2613,1568,17,-358,-380,-9,0,1,1,0,2,1,3446,2424,14,4430,3041,26,-984,-617,-12,0,2,2,0,4,2,4508,3349,18,6067,4605,34,-1559,-1256,-16,0,2,2,0,6,2,5903,4768,23,7379,6155,39,-1476,-1387,-16,0,2,3,0,7,2
